Oficina Territorial,Año de la demanda,Mes de la demanda,Número de Solicitudes con Demanda
Medellín Oriente,"2,015",5,1
Villavicencio,"2,016",2,5
Medellín Oriente,"2,017",9,7
Ibagué,"2,013",10,11
Medellín Oriente,"2,014",10,13
Medellín Oriente,"2,013",3,11
Medellín Oriente,"2,012",10,7
Urabá,"2,014",2,42
Carmen de Bolívar,"2,012",8,5
Barrancabermeja,"2,013",9,2
Carmen de Bolívar,"2,013",1,4
Medellín Oriente,"2,014",3,10
Medellín Occidente,"2,014",2,1
Santa Marta,"2,014",6,41
Medellín Oriente,"2,013",1,13
Medellín Occidente,"2,017",12,1
Valledupar,"2,015",1,5
Carmen de Bolívar,"2,016",8,48
Bogotá D.C.,"2,017",12,15
Villavicencio,"2,013",8,19
Carmen de Bolívar,"2,012",7,3
Medellín Oriente,"2,017",5,4
Medellín Oriente,"2,015",1,2
Villavicencio,"2,015",3,22
Carmen de Bolívar,"2,013",11,66
Villavicencio,"2,013",7,3
Bucaramanga,"2,015",7,16
Cali,"2,013",10,19
Carmen de Bolívar,"2,016",6,15
Barrancabermeja,"2,014",1,10
Popayán,"2,017",12,1
Urabá,"2,014",4,20
Santa Marta,"2,015",8,15
Barrancabermeja,"2,016",6,6
Medellín Oriente,"2,014",5,2
Popayán,"2,014",3,7
Medellín Occidente,"2,015",1,1
Medellín Occidente,"2,018",2,2
Villavicencio,"2,018",2,1
Valledupar,"2,018",2,35
Villavicencio,"2,018",1,2
Santa Marta,"2,018",2,5
Cúcuta,"2,018",2,1
Villavicencio,"2,017",12,51
Carmen de Bolívar,"2,018",2,1
Pereira,"2,017",12,6
Pereira,"2,018",1,7
Carmen de Bolívar,"2,014",8,22
Santa Marta,"2,015",2,1
Villavicencio,"2,018",3,7
Bucaramanga,"2,018",3,9
Santa Marta,"2,018",3,3
Carmen de Bolívar,"2,015",3,28
Ibagué,"2,018",2,17
Sincelejo,"2,018",3,12
Cúcuta,"2,018",3,6
Neiva,"2,018",2,6
Urabá,"2,018",1,1
Santa Marta,"2,015",3,27
Barrancabermeja,"2,018",3,1
Ibagué,"2,015",1,6
Carmen de Bolívar,"2,013",2,40
Carmen de Bolívar,"2,018",5,7
Cúcuta,"2,018",4,1
Ibagué,"2,017",11,9
Pereira,"2,018",3,1
Bucaramanga,"2,018",4,2
Pereira,"2,018",2,7
Sincelejo,"2,018",4,15
Pereira,"2,018",5,16
Montería,"2,018",3,10
Medellín Oriente,"2,015",6,17
Barrancabermeja,"2,017",11,15
Barrancabermeja,"2,017",10,8
Florencia,"2,018",1,3
Sincelejo,"2,018",5,15
Cúcuta,"2,018",5,3
Urabá,"2,018",5,22
Villavicencio,"2,018",4,6
Barrancabermeja,"2,016",12,20
Santa Marta,"2,018",5,30
Carmen de Bolívar,"2,018",3,26
Pereira,"2,018",4,10
Neiva,"2,018",5,3
Neiva,"2,018",4,12
Valledupar,"2,017",11,37
Medellín Oriente,"2,014",12,77
Medellín Occidente,"2,018",5,2
Montería,"2,018",2,13
Ibagué,"2,013",12,14
Urabá,"2,018",4,9
Villavicencio,"2,018",5,1
Medellín Oriente,"2,017",6,2
Carmen de Bolívar,"2,018",4,4
Bucaramanga,"2,017",1,2
Neiva,"2,018",3,2
Medellín Oriente,"2,015",2,30
Montería,"2,018",5,25
Ibagué,"2,018",6,1
Medellín Oriente,"2,013",9,14
Medellín Oriente,"2,018",2,10
Mocoa,"2,018",6,72
Valledupar,"2,018",6,22
Cúcuta,"2,013",10,6
Valledupar,"2,016",7,32
Neiva,"2,018",6,4
Florencia,"2,018",4,2
Carmen de Bolívar,"2,018",6,19
Mocoa,"2,018",5,1
Cali,"2,017",12,8
Medellín Occidente,"2,015",6,28
Florencia,"2,018",5,3
Medellín Occidente,"2,014",8,2
Cali,"2,018",6,10
Barrancabermeja,"2,018",6,2
Medellín Oriente,"2,016",9,16
Ibagué,"2,016",7,20
Ibagué,"2,018",1,2
Medellín Oriente,"2,015",4,14
Pereira,"2,015",12,113
Urabá,"2,018",3,8
Villavicencio,"2,016",11,16
Pasto,"2,014",2,24
Pereira,"2,018",6,7
Montería,"2,018",4,11
Caucasia,"2,018",6,4
Cali,"2,018",4,6
Medellín Oriente,"2,017",12,40
Valledupar,"2,013",2,14
Cúcuta,"2,018",6,10
Bucaramanga,"2,016",8,7
Cúcuta,"2,017",11,18
Villavicencio,"2,017",1,1
Ibagué,"2,014",2,34
Medellín Oriente,"2,018",1,43
Florencia,"2,017",12,15
Cúcuta,"2,013",12,32
Villavicencio,"2,016",10,8
Medellín Occidente,"2,016",10,2
Valledupar,"2,018",4,42
Medellín Oriente,"2,017",4,10
Ibagué,"2,017",8,1
Villavicencio,"2,016",9,3
Cali,"2,015",12,75
Barrancabermeja,"2,018",5,40
Mocoa,"2,018",7,8
Barrancabermeja,"2,015",12,22
Bucaramanga,"2,018",5,6
Bucaramanga,"2,016",7,6
Carmen de Bolívar,"2,016",5,27
Bogotá D.C.,"2,016",6,16
Ibagué,"2,018",7,2
Valledupar,"2,017",12,65
Sincelejo,"2,018",7,26
Caucasia,"2,018",3,13
Villavicencio,"2,017",3,4
Medellín Oriente,"2,013",10,86
