Departamento,Año Desmovilización,Número Desmovilizados
VICHADA,"2,011",3
Por establecer,"2,011",161
AMAZONAS,"2,010",1
ANTIOQUIA,"2,010",206
ARAUCA,"2,010",13
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,"2,010",0
ATLANTICO,"2,010",16
BOGOTA D.C.,"2,010",329
BOLIVAR,"2,010",21
BOYACA,"2,010",16
CALDAS,"2,010",18
CAQUETA,"2,010",143
CASANARE,"2,010",39
CAUCA,"2,010",58
CESAR,"2,010",14
CHOCO,"2,010",22
CORDOBA,"2,010",15
CUNDINAMARCA,"2,010",96
GUAINIA,"2,010",5
GUAVIARE,"2,010",19
HUILA,"2,010",111
LA GUAJIRA,"2,010",7
MAGDALENA,"2,010",11
META,"2,010",233
NARINO,"2,010",27
NORTE DE SANTANDER,"2,010",41
PUTUMAYO,"2,010",86
QUINDIO,"2,010",28
RISARALDA,"2,010",41
SANTANDER,"2,010",39
SUCRE,"2,010",12
TOLIMA,"2,010",96
VALLE DEL CAUCA,"2,010",181
VAUPES,"2,010",9
VICHADA,"2,010",4
Por establecer,"2,010",270
AMAZONAS,"2,009",2
ANTIOQUIA,"2,009",245
ARAUCA,"2,009",17
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,"2,009",0
ATLANTICO,"2,009",25
BOGOTA D.C.,"2,009",375
BOLIVAR,"2,009",39
BOYACA,"2,009",44
CALDAS,"2,009",30
CAQUETA,"2,009",120
CASANARE,"2,009",69
CAUCA,"2,009",78
CESAR,"2,009",39
CHOCO,"2,009",29
CORDOBA,"2,009",19
CUNDINAMARCA,"2,009",114
GUAINIA,"2,009",8
GUAVIARE,"2,009",13
HUILA,"2,009",163
LA GUAJIRA,"2,009",8
MAGDALENA,"2,009",7
META,"2,009",204
NARINO,"2,009",45
NORTE DE SANTANDER,"2,009",32
PUTUMAYO,"2,009",63
QUINDIO,"2,009",40
RISARALDA,"2,009",51
SANTANDER,"2,009",58
SUCRE,"2,009",24
TOLIMA,"2,009",125
VALLE DEL CAUCA,"2,009",280
VAUPES,"2,009",7
VICHADA,"2,009",6
Por establecer,"2,009",421
AMAZONAS,"2,008",3
ANTIOQUIA,"2,008",257
ARAUCA,"2,008",19
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,"2,008",0
ATLANTICO,"2,008",39
BOGOTA D.C.,"2,008",361
BOLIVAR,"2,008",70
BOYACA,"2,008",36
CALDAS,"2,008",65
CAQUETA,"2,008",118
CASANARE,"2,008",56
CAUCA,"2,008",184
CESAR,"2,008",42
CHOCO,"2,008",31
CORDOBA,"2,008",5
CUNDINAMARCA,"2,008",107
GUAINIA,"2,008",10
GUAVIARE,"2,008",14
HUILA,"2,008",133
LA GUAJIRA,"2,008",10
MAGDALENA,"2,008",9
META,"2,008",372
NARINO,"2,008",30
NORTE DE SANTANDER,"2,008",31
PUTUMAYO,"2,008",57
QUINDIO,"2,008",31
RISARALDA,"2,008",79
SANTANDER,"2,008",61
SUCRE,"2,008",48
TOLIMA,"2,008",118
VALLE DEL CAUCA,"2,008",221
VAUPES,"2,008",3
VICHADA,"2,008",14
Por establecer,"2,008",368
AMAZONAS,"2,007",2
ANTIOQUIA,"2,007",292
ARAUCA,"2,007",26
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,"2,007",0
ATLANTICO,"2,007",32
BOGOTA D.C.,"2,007",500
BOLIVAR,"2,007",58
BOYACA,"2,007",29
CALDAS,"2,007",31
CAQUETA,"2,007",113
CASANARE,"2,007",49
CAUCA,"2,007",96
CESAR,"2,007",44
CHOCO,"2,007",8
CORDOBA,"2,007",5
CUNDINAMARCA,"2,007",103
GUAINIA,"2,007",5
GUAVIARE,"2,007",7
HUILA,"2,007",137
LA GUAJIRA,"2,007",11
MAGDALENA,"2,007",10
META,"2,007",159
NARINO,"2,007",39
NORTE DE SANTANDER,"2,007",39
PUTUMAYO,"2,007",39
QUINDIO,"2,007",28
RISARALDA,"2,007",71
SANTANDER,"2,007",77
SUCRE,"2,007",49
TOLIMA,"2,007",131
VALLE DEL CAUCA,"2,007",394
VAUPES,"2,007",2
VICHADA,"2,007",8
Por establecer,"2,007",348
AMAZONAS,"2,006",11
ANTIOQUIA,"2,006","4,376"
ARAUCA,"2,006",31
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,"2,006",0
ATLANTICO,"2,006",924
BOGOTA D.C.,"2,006","1,303"
BOLIVAR,"2,006",586
BOYACA,"2,006",529
CALDAS,"2,006",259
