FECHA,DEPARTAMENTO,MUNICIPIO,DÍA,CLASE DE ARMA,PERMISO,ZONA,CLASE DE SITIO,CANTIDAD
22/06/2012,ATLÁNTICO,SANTO TOMÁS,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,VALLE,VERSALLES,Viernes,ESCOPETA,SIN PERMISO,RURAL,VIAS PUBLICAS,1
22/06/2012,CUNDINAMARCA,BOGOTÁ D.C. ,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,CAQUETÁ,FLORENCIA ,Viernes,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,BOYACÁ,SAN LUIS DE GACENO,Viernes,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,CESAR,VALLEDUPAR ,Viernes,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,CESAR,VALLEDUPAR ,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,2
22/06/2012,ATLÁNTICO,BARANOA,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,ANTIOQUIA,MONTEBELLO,Viernes,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,ATLÁNTICO,BARRANQUILLA ,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,VALLE,CALI ,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,NORTE DE SANTANDER,VILLA DEL ROSARIO,Viernes,SUBAMETRALLADORA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,VALLE,ANSERMANUEVO,Viernes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,VALLE,TULUÁ,Viernes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,ATLÁNTICO,SOLEDAD,Viernes,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,CALDAS,MANIZALES ,Viernes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,CUNDINAMARCA,GUAYABETAL,Viernes,ESCOPETA,SIN PERMISO,RURAL,CARRETERA,1
22/06/2012,CUNDINAMARCA,LA CALERA,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,CUNDINAMARCA,ZIPAQUIRÁ,Viernes,ESCOPETA,SIN PERMISO,URBANA,NO DEFINIDO,1
22/06/2012,META,VISTAHERMOSA,Viernes,FUSIL / RIFLE,SIN PERMISO,RURAL,FINCAS Y SIMILARES,1
22/06/2012,META,VISTAHERMOSA,Viernes,PISTOLA,SIN PERMISO,RURAL,FINCAS Y SIMILARES,3
22/06/2012,GUAJIRA,RIOHACHA ,Viernes,REVOLVER,SIN PERMISO,URBANA,LOCAL COMERCIAL,1
22/06/2012,BOYACÁ,CHITARAQUE,Viernes,ESCOPETA,SIN PERMISO,RURAL,VIAS PUBLICAS,1
22/06/2012,CAUCA,LA VEGA,Viernes,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,CAUCA,TIMBIQUÍ,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,TOLIMA,SAN LUIS,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,CAQUETÁ,FLORENCIA ,Viernes,ESCOPETA DE FISTO,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,CESAR,EL PASO,Viernes,REVOLVER,SIN PERMISO,RURAL,CARRETERA,1
22/06/2012,CHOCÓ,QUIBDÓ ,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,CUNDINAMARCA,ZIPAQUIRÁ,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,2
22/06/2012,VALLE,CALI ,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,CALDAS,MANZANARES,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,RISARALDA,QUINCHÍA,Viernes,ESCOPETA,SIN PERMISO,RURAL,FINCAS Y SIMILARES,1
22/06/2012,SANTANDER,FLORIDABLANCA,Viernes,REVOLVER,SIN PERMISO,URBANA,BILLARES,1
22/06/2012,ANTIOQUIA,MEDELLÍN ,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,ANTIOQUIA,AMAGÁ,Viernes,ESCOPETA,SIN PERMISO,RURAL,FINCAS Y SIMILARES,1
22/06/2012,ANTIOQUIA,SANTO DOMINGO,Viernes,ESCOPETA,SIN PERMISO,RURAL,FINCAS Y SIMILARES,1
22/06/2012,CUNDINAMARCA,BOGOTÁ D.C. ,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,ATLÁNTICO,BARRANQUILLA ,Viernes,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,CALDAS,SAN JOSÉ,Viernes,ESCOPETA,SIN PERMISO,RURAL,VIAS PUBLICAS,1
22/06/2012,HUILA,NEIVA ,Viernes,REVOLVER,SIN PERMISO,URBANA,CASAS DE HABITACION,2
22/06/2012,SANTANDER,GIRÓN,Viernes,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,TOLIMA,IBAGUÉ ,Viernes,PISTOLA,SIN PERMISO,URBANA,TERMINAL DE TRANSPORTES,2
22/06/2012,TOLIMA,IBAGUÉ ,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,CESAR,AGUACHICA,Viernes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,ATLÁNTICO,BARRANQUILLA ,Viernes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,ATLÁNTICO,BARRANQUILLA ,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,GUAJIRA,RIOHACHA ,Viernes,REVOLVER,SIN PERMISO,RURAL,TRAMO DE VIA,1
22/06/2012,BOLÍVAR,SIMITÍ,Viernes,REVOLVER,SIN PERMISO,URBANA,NO DEFINIDO,5
22/06/2012,CUNDINAMARCA,BOGOTÁ D.C. ,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,ATLÁNTICO,BARRANQUILLA ,Viernes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,VALLE,CALI ,Viernes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
22/06/2012,VALLE,CALI ,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
23/06/2012,VALLE,CALI ,Sábado,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
23/06/2012,SANTANDER,BARRANCABERMEJA,Sábado,PISTOLA,CON PERMISO,RURAL,TRAMO DE VIA,1
23/06/2012,CUNDINAMARCA,MOSQUERA,Sábado,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,9
23/06/2012,CÓRDOBA,SAHAGÚN,Sábado,REVOLVER,CON PERMISO,RURAL,CARRETERA,1
23/06/2012,HUILA,LA PLATA,Sábado,REVOLVER,CON PERMISO,RURAL,TRAMO DE VIA,1
23/06/2012,NORTE DE SANTANDER,LOS PATIOS,Sábado,ESCOPETA,CON PERMISO,RURAL,PEAJE,1
23/06/2012,CUNDINAMARCA,BOGOTÁ D.C. ,Sábado,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
23/06/2012,CUNDINAMARCA,BOJACÁ,Sábado,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
23/06/2012,CUNDINAMARCA,SOPÓ,Sábado,REVOLVER,CON PERMISO,RURAL,FINCAS Y SIMILARES,1
23/06/2012,CUNDINAMARCA,BOGOTÁ D.C. ,Sábado,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
23/06/2012,CUNDINAMARCA,FÚQUENE,Sábado,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
23/06/2012,CUNDINAMARCA,SOPÓ,Sábado,REVOLVER,CON PERMISO,RURAL,FINCAS Y SIMILARES,1
23/06/2012,VALLE,PALMIRA,Sábado,REVOLVER,CON PERMISO,RURAL,CARRETERA,1
23/06/2012,CUNDINAMARCA,GUADUAS,Sábado,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
