FECHA,DEPARTAMENTO,MUNICIPIO,DÍA,CLASE DE ARMA,PERMISO,ZONA,CLASE DE SITIO,CANTIDAD
13/05/2014,SANTANDER,PIEDECUESTA,Martes,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/05/2014,ANTIOQUIA,CAROLINA,Martes,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/05/2014,SUCRE,SAN BENITO ABAD,Martes,ESCOPETA,SIN PERMISO,RURAL,VIAS PUBLICAS,1
13/05/2014,ANTIOQUIA,MEDELLÍN ,Martes,SUBAMETRALLADORA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/05/2014,SANTANDER,VILLANUEVA,Martes,ESCOPETA DE FISTO,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/05/2014,BOLÍVAR,CANTAGALLO,Martes,ESCOPETA,SIN PERMISO,URBANA,INSTALACIONES DE LA POLICIA,1
13/05/2014,SANTANDER,CONTRATACIÓN,Martes,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/05/2014,VALLE,CALI ,Martes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/05/2014,CÓRDOBA,TUCHÍN,Martes,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/05/2014,QUINDÍO,ARMENIA ,Martes,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/05/2014,NARIÑO,IPIALES,Martes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/05/2014,CUNDINAMARCA,BOGOTÁ D.C. ,Martes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/05/2014,CALDAS,SALAMINA,Martes,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/05/2014,ANTIOQUIA,ANGOSTURA,Martes,ESCOPETA,SIN PERMISO,RURAL,FINCAS Y SIMILARES,1
13/05/2014,VALLE,CALI ,Martes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/05/2014,NORTE DE SANTANDER,CÚCUTA ,Martes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/05/2014,NORTE DE SANTANDER,CÚCUTA ,Martes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/05/2014,CUNDINAMARCA,BOGOTÁ D.C. ,Martes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
