FECHA,DEPARTAMENTO,MUNICIPIO,DIA,HORA,BARRIO,ZONA,CLASE DE SITIO,DELITO,ARMA EMPLEADA,MOVIL AGRESOR,MOVIL VICTIMA,CODIGO DANE,2015
30/12/2015,RISARALDA,PEREIRA (CT),Miércoles,0:00,CUBA V-8,URBANA,CAJERO AUTOMATICO,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"66,001,000",1
30/12/2015,RISARALDA,PEREIRA (CT),Miércoles,17:00,CORALES,URBANA,LOCAL COMERCIAL,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"66,001,000",1
30/12/2015,SUCRE,SINCELEJO (CT),Miércoles,2:03,AV. LAS PEÑITAS,URBANA,VIAS PUBLICAS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"70,001,000",1
30/12/2015,TOLIMA,ESPINAL,Miércoles,13:30,CENTRO,URBANA,CAJERO AUTOMATICO,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"73,268,000",1
30/12/2015,TOLIMA,IBAGUÉ (CT),Miércoles,0:00,BALTAZAR,URBANA,VIAS PUBLICAS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"73,001,000",1
30/12/2015,VALLE,CALI (CT),Miércoles,13:12,BRETAÑA E9,URBANA,VIAS PUBLICAS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"76,001,000",1
30/12/2015,VALLE,CALI (CT),Miércoles,18:00,LA FLORA E2,URBANA,VIAS PUBLICAS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"76,001,000",1
29/12/2015,ANTIOQUIA,MEDELLÍN (CT),Martes,0:00,PARQUE NORTE C-4,URBANA,VIAS PUBLICAS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"5,001,000",1
29/12/2015,ARAUCA,ARAUCA (CT),Martes,12:00,GUAYACAN,URBANA,DENTRO DE LA VIVIENDA,ARTÍCULO 269A. ACCESO ABUSIVO A UN SISTEMA INFORMÁTICO,SIN EMPLEO DE ARMAS,A PIE,A PIE,"81,001,000",1
29/12/2015,ATLÁNTICO,BARRANQUILLA (CT),Martes,0:00,VILLA COUNTRY,URBANA,CAJERO AUTOMATICO,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"8,001,000",1
29/12/2015,ATLÁNTICO,BARRANQUILLA (CT),Martes,17:30,SAN FELIPE,URBANA,VIAS PUBLICAS,ARTÍCULO 269A. ACCESO ABUSIVO A UN SISTEMA INFORMÁTICO,SIN EMPLEO DE ARMAS,A PIE,A PIE,"8,001,000",1
29/12/2015,ATLÁNTICO,BARRANQUILLA (CT),Martes,18:50,LAS MERCEDES,URBANA,EMPRESA,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"8,001,000",1
12/11/2015 12:00:00 AM,HUILA,HOBO,Jueves,14:10,SAN FERNANDO,URBANA,OFICINAS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"41,349,000",1
29/12/2015,BOLÍVAR,CARTAGENA (CT),Martes,0:00,NELSON MANDELA,URBANA,VIAS PUBLICAS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"13,001,000",1
29/12/2015,BOYACÁ,SOGAMOSO,Martes,22:00,CENTRO,URBANA,CAJERO AUTOMATICO,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"15,759,000",1
29/12/2015,CALDAS,MANIZALES (CT),Martes,0:00,CENTRO,URBANA,CAJERO AUTOMATICO,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"17,001,000",1
29/12/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,12:00,TEUSAQUILLO E-13,URBANA,LOCAL COMERCIAL,ARTÍCULO 269F. VIOLACIÓN DE DATOS PERSONALES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"11,001,000",1
29/12/2015,GUAJIRA,RIOHACHA (CT),Martes,13:00,NUEVO HORIZONTE,URBANA,CASAS DE HABITACION,ARTÍCULO 269F. VIOLACIÓN DE DATOS PERSONALES,NO REPORTADO,A PIE,A PIE,"44,001,000",1
29/12/2015,META,VILLAVICENCIO (CT),Martes,10:00,SAN MARCOS,URBANA,VIAS PUBLICAS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"50,001,000",1
29/12/2015,NORTE DE SANTANDER,CÚCUTA (CT),Martes,15:25,URBANIZACION GUALANDAY,URBANA,DENTRO DE LA VIVIENDA,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"54,001,000",1
29/12/2015,NORTE DE SANTANDER,MUTISCUA,Martes,10:30,BARRIO CENTRO(MUTISCUA),URBANA,ALCALDIA,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"54,480,000",1
29/12/2015,SANTANDER,GIRÓN,Martes,18:50,POBLADO,URBANA,CAJERO AUTOMATICO,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"68,307,000",1
29/12/2015,VALLE,CALI (CT),Martes,0:00,GRANADA E2,URBANA,DENTRO DE LA VIVIENDA,ARTÍCULO 269A. ACCESO ABUSIVO A UN SISTEMA INFORMÁTICO,SIN EMPLEO DE ARMAS,A PIE,A PIE,"76,001,000",1
28/12/2015,ATLÁNTICO,BARRANQUILLA (CT),Lunes,13:00,LA PAZ,URBANA,DENTRO DE LA VIVIENDA,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"8,001,000",1
28/12/2015,BOYACÁ,SOGAMOSO,Lunes,9:00,OLAYA HERRERA,URBANA,CAJERO AUTOMATICO,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"15,759,000",1
28/12/2015,CAUCA,POPAYÁN (CT),Lunes,21:00,MODELO,URBANA,CASAS DE HABITACION,ARTÍCULO 269A. ACCESO ABUSIVO A UN SISTEMA INFORMÁTICO,SIN EMPLEO DE ARMAS,A PIE,A PIE,"19,001,000",1
28/12/2015,CAUCA,POPAYÁN (CT),Lunes,22:00,CADILLAL,URBANA,LOCAL COMERCIAL,ARTÍCULO 269F. VIOLACIÓN DE DATOS PERSONALES,NO REPORTADO,A PIE,A PIE,"19,001,000",1
28/12/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,8:00,FLORIDA BLANCA E-10,URBANA,VIAS PUBLICAS,ARTÍCULO 269A. ACCESO ABUSIVO A UN SISTEMA INFORMÁTICO,SIN EMPLEO DE ARMAS,A PIE,A PIE,"11,001,000",1
28/12/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,10:50,CASTILLA REAL     E-8,URBANA,VIAS PUBLICAS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"11,001,000",1
28/12/2015,META,VILLAVICENCIO (CT),Lunes,14:00,CAVIVIR,URBANA,DENTRO DE LA VIVIENDA,ARTÍCULO 269F. VIOLACIÓN DE DATOS PERSONALES,NO REPORTADO,A PIE,A PIE,"50,001,000",1
28/12/2015,NARIÑO,PASTO (CT),Lunes,0:00,SANTA FE,URBANA,VIAS PUBLICAS,ARTÍCULO 269A. ACCESO ABUSIVO A UN SISTEMA INFORMÁTICO,SIN EMPLEO DE ARMAS,A PIE,A PIE,"52,001,000",1
28/12/2015,QUINDÍO,CALARCA,Lunes,0:00,MARTINIANO MONTOYA,URBANA,FINCAS Y SIMILARES,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"63,130,000",1
28/12/2015,SANTANDER,BARRANCABERMEJA,Lunes,18:57,COLOMBIA,URBANA,NO DEFINIDO,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"68,081,000",1
28/12/2015,SANTANDER,CAPITANEJO,Lunes,0:00,CENTRO,URBANA,BANCOS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"68,147,000",1
28/12/2015,VALLE,JAMUNDÍ,Lunes,0:00,JUAN DE AMPUDIA E24,URBANA,CAJERO AUTOMATICO,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"76,364,000",1
27/12/2015,ANTIOQUIA,MEDELLÍN (CT),Domingo,0:00,PARQUE NORTE C-4,URBANA,VIAS PUBLICAS,ARTÍCULO 269F. VIOLACIÓN DE DATOS PERSONALES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"5,001,000",2
27/12/2015,ATLÁNTICO,BARRANQUILLA (CT),Domingo,16:00,LOS JOBOS,URBANA,CASAS DE HABITACION,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"8,001,000",1
27/12/2015,BOYACÁ,TUNJA (CT),Domingo,14:00,CENTRO,URBANA,VIAS PUBLICAS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"15,001,000",1
27/12/2015,CHOCÓ,QUIBDÓ (CT),Domingo,10:00,KENNEDY,URBANA,VIAS PUBLICAS,ARTÍCULO 269F. VIOLACIÓN DE DATOS PERSONALES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"27,001,000",1
27/12/2015,CÓRDOBA,MONTERÍA (CT),Domingo,0:00,NARIÑO,URBANA,VIAS PUBLICAS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"23,001,000",1
27/12/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,8:00,VILLAS DE GRANADA E-10,URBANA,CASAS DE HABITACION,ARTÍCULO 269F. VIOLACIÓN DE DATOS PERSONALES,NO REPORTADO,A PIE,A PIE,"11,001,000",1
27/12/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,15:00,LA FLORESTA E-11,URBANA,CASAS DE HABITACION,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"11,001,000",1
27/12/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,16:00,MODELIA E-9,URBANA,CASA EN CONJUNTO CERRADO,ARTÍCULO 269F. VIOLACIÓN DE DATOS PERSONALES,NO REPORTADO,A PIE,A PIE,"11,001,000",1
27/12/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,17:00,LAS FERIAS E-10,URBANA,VIAS PUBLICAS,ARTÍCULO 269F. VIOLACIÓN DE DATOS PERSONALES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"11,001,000",1
27/12/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,18:00,QUINTAS DEL PLAN SOCIAL E-5,URBANA,CASAS DE HABITACION,ARTÍCULO 269A. ACCESO ABUSIVO A UN SISTEMA INFORMÁTICO,SIN EMPLEO DE ARMAS,A PIE,A PIE,"11,001,000",1
27/12/2015,META,VILLAVICENCIO (CT),Domingo,0:00,NUEVA GRANADA,URBANA,VIAS PUBLICAS,ARTÍCULO 269F. VIOLACIÓN DE DATOS PERSONALES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"50,001,000",1
27/12/2015,META,VILLAVICENCIO (CT),Domingo,16:26,NUEVA GRANADA,URBANA,VIAS PUBLICAS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"50,001,000",1
27/12/2015,TOLIMA,GUAMO,Domingo,11:00,CENTRO,URBANA,CAJERO AUTOMATICO,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"73,319,000",1
27/12/2015,VALLE,CALI (CT),Domingo,11:00,EL GUABAL E10,URBANA,VIAS PUBLICAS,ARTÍCULO 269A. ACCESO ABUSIVO A UN SISTEMA INFORMÁTICO,SIN EMPLEO DE ARMAS,A PIE,A PIE,"76,001,000",1
26/12/2015,BOLÍVAR,CARTAGENA (CT),Sábado,17:32,NELSON MANDELA,URBANA,VIAS PUBLICAS,ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,"13,001,000",1
26/12/2015,BOLÍVAR,CÓRDOBA,Sábado,17:00,SECTOR CENTRO,URBANA,VIAS PUBLICAS,ARTÍCULO 269A. ACCESO ABUSIVO A UN SISTEMA INFORMÁTICO,SIN EMPLEO DE ARMAS,A PIE,A PIE,"13,212,000",1
