Fecha,Departamento,Municipio,Día,Hora,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Profesión,Escolaridad,Código DANE,Cantidad
19/06/2017,META,VISTAHERMOSA,Lunes,17:40:00,VEREDA SANTO DOMINGO,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,39,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,"50,711,000",1
19/06/2017,NARIÑO,SAN ANDRES DE TUMACO,Lunes,17:00:00,VEREDA CANDELILLAS,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,24,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,"52,835,000",1
19/06/2017,NARIÑO,SAN ANDRES DE TUMACO,Lunes,11:40:00,CENTRO,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,32,MASCULINO,SOLTERO,-,INDEPENDIENTE,-,PRIMARIA,"52,835,000",1
19/06/2017,NARIÑO,SAPUYES,Lunes,9:40:00,BOLIVAR,URBANA,CASAS DE HABITACION,ARMA DE FUEGO,A PIE,A PIE,43,FEMENINO,CASADO,COLOMBIA,AMA DE CASA,-,SECUNDARIA,"52,720,000",1
19/06/2017,NORTE DE SANTANDER,CÚCUTA (CT),Lunes,0:30:00,BARRIO SAN MIGUEL,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,39,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,PRIMARIA,"54,001,000",1
19/06/2017,NORTE DE SANTANDER,CÚCUTA (CT),Lunes,6:45:00,BARRIO SANTA HELENA,URBANA,VIAS PUBLICAS,CUERDA/SOGA/CADENA,A PIE,A PIE,23,FEMENINO,SOLTERO,VENEZUELA,DESEMPLEADO,-,PRIMARIA,"54,001,000",1
19/06/2017,RISARALDA,DOSQUEBRADAS,Lunes,20:00:00,EL JAPON,URBANA,"BARES, CANTINAS Y SIMILARES",ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,21,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,"66,170,000",1
19/06/2017,SUCRE,SINCELEJO (CT),Lunes,16:45:00,SECTOR SALIDA A SAMPUES,RURAL,FRENTE A COLEGIO - VIA PUBLICA,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,16,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,"70,001,000",1
19/06/2017,TOLIMA,CHAPARRAL,Lunes,3:00:00,SITIO EL PANDO,RURAL,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,46,MASCULINO,SOLTERO,COLOMBIA,AGRICULTOR,-,SECUNDARIA,"73,168,000",1
19/06/2017,VALLE,CALI (CT),Lunes,13:00:00,LOS COMUNEROS I E15,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,37,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,-,SECUNDARIA,"76,001,000",1
19/06/2017,VALLE,CALI (CT),Lunes,21:03:00,LAUREANO GOMEZ E15,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,39,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,"76,001,000",1
19/06/2017,VALLE,CALI (CT),Lunes,8:09:00,LOS NARANJOS I E14,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,22,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,-,PRIMARIA,"76,001,000",1
20/06/2017,ANTIOQUIA,MEDELLÍN (CT),Martes,15:24:00,CORAZON DE JESUS C-10,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,37,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,"5,001,000",1
20/06/2017,ANTIOQUIA,TURBO,Martes,0:20:00,JULIA OROZCO,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,18,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,"5,837,000",1
20/06/2017,ARAUCA,ARAUCA (CT),Martes,16:00:00,VEREDA TODOS LOS SANTOS,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,41,MASCULINO,UNION LIBRE,COLOMBIA,AGRICULTOR,-,SECUNDARIA,"81,001,000",1
20/06/2017,ATLÁNTICO,SOLEDAD,Martes,22:20:00,DON BOSCO,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,PASAJERO MOTOCICLETA,A PIE,25,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,-,SECUNDARIA,"8,758,000",1
20/06/2017,BOYACÁ,PUERTO BOYACÁ,Martes,15:30:00,VDA. EL MARTIL,RURAL,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,17,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,-,PRIMARIA,"15,572,000",1
