FECHA,DEPARTAMENTO,MUNICIPIO,DÍA,CLASE DE ARMA,PERMISO,ZONA,CLASE DE SITIO,CANTIDAD
01/01/2010 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. ,Viernes,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. ,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,RISARALDA,PEREIRA ,Viernes,REVOLVER,SIN PERMISO,RURAL,FINCAS Y SIMILARES,1
01/01/2010 12:00:00 AM,TOLIMA,ESPINAL,Viernes,REVOLVER,SIN PERMISO,RURAL,CARRETERA,1
01/01/2010 12:00:00 AM,ANTIOQUIA,MEDELLÍN ,Viernes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,ANTIOQUIA,MEDELLÍN ,Viernes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,QUINDÍO,ARMENIA ,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,ATLÁNTICO,BARRANQUILLA ,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,VALLE,GUADALAJARA DE BUGA,Viernes,PISTOLA,SIN PERMISO,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,1
01/01/2010 12:00:00 AM,ANTIOQUIA,BELLO,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,NORTE DE SANTANDER,CÚCUTA ,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,GUAVIARE,CALAMAR,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,ANTIOQUIA,MEDELLÍN ,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,NORTE DE SANTANDER,OCAÑA,Viernes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
01/01/2010 12:00:00 AM,VALLE,CAICEDONIA,Viernes,ESCOPETA,SIN PERMISO,RURAL,VIAS PUBLICAS,1
