FECHA,DEPARTAMENTO,MUNICIPIO,DÍA,CLASE DE ARMA,PERMISO,ZONA,CLASE DE SITIO,CÓDIGO DANE,CANTIDAD
16/01/2015,ANTIOQUIA,VENECIA,Viernes,ESCOPETA,SIN PERMISO,RURAL,FINCAS Y SIMILARES,"5,861,000",1
16/01/2015,ATLÁNTICO,BARRANQUILLA (CT),Viernes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,"8,001,000",3
16/01/2015,ATLÁNTICO,BARRANQUILLA (CT),Viernes,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,"8,001,000",51
16/01/2015,ATLÁNTICO,LURUACO,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"8,421,000",1
16/01/2015,BOLÍVAR,CARTAGENA (CT),Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"13,001,000",1
16/01/2015,BOYACÁ,BUSBANZÁ,Viernes,ESCOPETA DE FISTO,SIN PERMISO,URBANA,VIAS PUBLICAS,"15,114,000",1
16/01/2015,BOYACÁ,FIRAVITOBA,Viernes,ESCOPETA DE FISTO,SIN PERMISO,URBANA,VIAS PUBLICAS,"15,272,000",1
16/01/2015,CALDAS,MANIZALES (CT),Viernes,REVOLVER,SIN PERMISO,URBANA,INSTALACIONES DE LA POLICIA,"17,001,000",2
16/01/2015,CALDAS,MANIZALES (CT),Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"17,001,000",1
16/01/2015,CALDAS,PÁCORA,Viernes,ESCOPETA,SIN PERMISO,RURAL,INSTALACIONES DE LA POLICIA,"17,513,000",1
16/01/2015,CALDAS,PENSILVANIA,Viernes,ESCOPETA,SIN PERMISO,RURAL,VIAS PUBLICAS,"17,541,000",1
16/01/2015,CAQUETÁ,SAN JOSÉ DEL FRAGUA,Viernes,ESCOPETA DE FISTO,SIN PERMISO,URBANA,VIAS PUBLICAS,"18,610,000",1
16/01/2015,CASANARE,MONTERREY,Viernes,ESCOPETA,SIN PERMISO,RURAL,PUESTO DE CONTROL,"85,162,000",1
16/01/2015,CASANARE,MONTERREY,Viernes,PISTOLA,SIN PERMISO,RURAL,PUESTO DE CONTROL,"85,162,000",1
16/01/2015,CASANARE,TRINIDAD,Viernes,ESCOPETA DE FISTO,SIN PERMISO,RURAL,BOSQUES,"85,430,000",2
16/01/2015,CAUCA,POPAYÁN (CT),Viernes,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,"19,001,000",1
16/01/2015,CAUCA,SANTANDER DE QUILICHAO,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"19,698,000",1
16/01/2015,CÓRDOBA,PLANETA RICA,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"23,555,000",1
16/01/2015,CÓRDOBA,SAN ANDRÉS SOTAVENTO,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"23,670,000",1
16/01/2015,CÓRDOBA,TIERRALTA,Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"23,807,000",1
16/01/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,FUSIL / RIFLE,SIN PERMISO,URBANA,APARTAMENTO EN CONJUNTO CERRADO,"11,001,000",1
16/01/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,"11,001,000",2
16/01/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,PISTOLA,SIN PERMISO,URBANA,APARTAMENTO EN CONJUNTO CERRADO,"11,001,000",1
16/01/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,REVOLVER,SIN PERMISO,URBANA,AEROPUERTO,"11,001,000",1
16/01/2015,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,"11,001,000",2
16/01/2015,CUNDINAMARCA,CHÍA,Viernes,PISTOLA,CON PERMISO,URBANA,CONJUNTO RESIDENCIAL,"25,175,000",1
16/01/2015,CUNDINAMARCA,CHÍA,Viernes,REVOLVER,CON PERMISO,URBANA,CASA EN CONJUNTO CERRADO,"25,175,000",1
16/01/2015,CUNDINAMARCA,CHÍA,Viernes,REVOLVER,CON PERMISO,URBANA,PUESTO DE CONTROL,"25,175,000",1
16/01/2015,CUNDINAMARCA,GIRARDOT,Viernes,ESCOPETA DE FISTO,SIN PERMISO,RURAL,CARRETERA,"25,307,000",2
16/01/2015,CUNDINAMARCA,JUNÍN,Viernes,ESCOPETA DE FISTO,SIN PERMISO,URBANA,VIAS PUBLICAS,"25,372,000",1
16/01/2015,CUNDINAMARCA,MACHETA,Viernes,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,"25,426,000",1
