FECHA,DEPARTAMENTO,MUNICIPIO,DIA,HORA,BARRIO,ZONA ,CLASE DE SITIO ,ARMA O MEDIO,MOVIL VICTIMA ,MOVIL AGRESOR ,EDAD ,GENERO ,ESTADO CIVIL,CLASE EMPLEADO,PROFESION,ESCOLARIDAD,PAIS NACE,CODIGO DANE ,2011
05/02/2011 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,14:30,VERBENAL I E-1,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,VEHICULO,VEHICULO,44,MASCULINO,UNION LIBRE,COMERCIANTE,NO REPORTADA,SUPERIOR,VENEZUELA,"81,794,000",1
07/02/2011 12:00:00 AM,VALLE,CALI (CT),Lunes,0:17,-,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,VEHICULO,VEHICULO,20,FEMENINO,SOLTERO,COMERCIANTE,NO REPORTADA,NO REPORTADA,COLOMBIA,"81,794,000",1
08/02/2011 12:00:00 AM,CAUCA,EL TAMBO,Martes,9:00,-,RURAL,TRAMO DE VIA,ARMA BLANCA / CORTOPUNZANTE,VEHICULO,VEHICULO,55,MASCULINO,CASADO,EMPLEADO PARTICULAR,NO REPORTADA,SUPERIOR,COLOMBIA,"81,794,000",1
08/02/2011 12:00:00 AM,CAUCA,EL TAMBO,Martes,9:00,-,RURAL,TRAMO DE VIA,ARMA BLANCA / CORTOPUNZANTE,A PIE,VEHICULO,45,MASCULINO,CASADO,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,NO REPORTADA,"15,759,000",1
09/02/2011 12:00:00 AM,CAUCA,POPAYÁN (CT),Miércoles,12:30,VDA LA REJOYA,URBANA,TRAMO DE VIA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,54,MASCULINO,UNION LIBRE,GANADERO,NO REPORTADA,PRIMARIA,COLOMBIA,"99,773,000",1
10/02/2011 12:00:00 AM,ARAUCA,ARAUCA (CT),Jueves,19:00,VEREDA CABULLARE,RURAL,PUENTE,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,62,MASCULINO,CASADO,GANADERO,NO REPORTADA,SECUNDARIA,COLOMBIA,"11,001,000",1
12/02/2011 12:00:00 AM,VALLE,CALI (CT),Sábado,10:00,SIETE DE AGOSTO E7,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,VEHICULO,A PIE,0,FEMENINO,SOLTERO,NO REPORTA,NO REPORTADA,ANALFABETA,COLOMBIA,"81,736,000",1
12/02/2011 12:00:00 AM,NARIÑO,CUMBAL,Sábado,4:30,-,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,VEHICULO,A PIE,3,MASCULINO,SOLTERO,NO REPORTA,NO REPORTADA,NO REPORTADA,COLOMBIA,"81,736,000",1
19/02/2011,ARAUCA,FORTUL,Sábado,7:00,VEREDA TAMARAL,URBANA,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,VEHICULO,A PIE,NO REPORTADA,MASCULINO,CASADO,EMPLEADO PARTICULAR,INGENIERO,SUPERIOR,COLOMBIA,"81,736,000",1
20/02/2011,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,11:00,INGLES E-18,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,NO REPORTADA,NO REPORTADA,35,MASCULINO,UNION LIBRE,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,COLOMBIA,"27,001,000",1
22/02/2011,NARIÑO,TANGUA,Martes,11:30,-,RURAL,FINCAS Y SIMILARES,NO REPORTADO,A PIE,A PIE,0,FEMENINO,SOLTERO,NO REPORTA,NO REPORTADA,NO REPORTADA,COLOMBIA,"5,079,000",1
23/02/2011,ANTIOQUIA,MEDELLÍN (CT),Miércoles,14:00,SANTA RITA  S.A.P.,URBANA,CASAS DE HABITACION,NO REPORTADA,VEHICULO,A PIE,40,MASCULINO,CASADO,COMERCIANTE,NO REPORTADA,SECUNDARIA,COLOMBIA,"19,450,000",1
23/02/2011,HUILA,NEIVA (CT),Miércoles,20:50,-,URBANA,PARQUEADERO,ARMA BLANCA / CORTOPUNZANTE,VEHICULO,A PIE,52,MASCULINO,CASADO,COMERCIANTE,NO REPORTADA,PRIMARIA,COLOMBIA,"27,001,000",1
25/02/2011,PUTUMAYO,MOCOA (CT),Viernes,9:30,VDA. EL CHURUMBELO,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,48,MASCULINO,UNION LIBRE,EMPLEADO PARTICULAR,NO REPORTADA,PRIMARIA,COLOMBIA,"15,104,000",1
25/02/2011,CALDAS,MANIZALES (CT),Viernes,20:45,CENTRO,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,22,MASCULINO,UNION LIBRE,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,COLOMBIA,"15,104,000",1
01/03/2011 12:00:00 AM,GUAVIARE,CALAMAR,Martes,17:00,VEREDA LA CEIBA,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,54,MASCULINO,SEPARADO,GANADERO,NO REPORTADA,PRIMARIA,COLOMBIA,"15,104,000",1
02/03/2011 12:00:00 AM,ATLÁNTICO,BARRANQUILLA (CT),Miércoles,11:25,-,URBANA,TIENDA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,40,MASCULINO,SOLTERO,EMPLEADO PARTICULAR,ADMINISTRADOR DE EMPRESAS,TECNICO,COLOMBIA,"15,104,000",1
02/03/2011 12:00:00 AM,NARIÑO,TANGUA,Miércoles,1:30,-,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,83,MASCULINO,CASADO,AGRICULTOR,NO REPORTADA,NO REPORTADA,COLOMBIA,"15,104,000",1
03/03/2011 12:00:00 AM,NARIÑO,SANTA BÁRBARA,Jueves,7:45,-,RURAL,FINCAS Y SIMILARES,NO REPORTADO,A PIE,CONDUCTOR MOTOCICLETA,49,MASCULINO,UNION LIBRE,EMPLEADO PARTICULAR,ADMINISTRADOR DE EMPRESAS,SUPERIOR,COLOMBIA,"81,001,000",1
03/03/2011 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,4:00,GALERIAS E-13,URBANA,CENTRO COMERCIAL,ARMA BLANCA / CORTOPUNZANTE,VEHICULO,A PIE,49,MASCULINO,CASADO,COMERCIANTE,NO REPORTADA,SECUNDARIA,COLOMBIA,"41,551,000",1
03/03/2011 12:00:00 AM,PUTUMAYO,MOCOA (CT),Jueves,18:30,SAN JOSE DEL PEPINO,RURAL,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,VEHICULO,A PIE,26,MASCULINO,SOLTERO,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADA,COLOMBIA,"76,001,000",1
04/03/2011 12:00:00 AM,NORTE DE SANTANDER,EL ZULIA,Viernes,15:00,BARRIO EL CENTRO,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,45,MASCULINO,CASADO,COMERCIANTE,NO REPORTADA,SECUNDARIA,COLOMBIA,"52,001,000",1
04/03/2011 12:00:00 AM,VALLE,GUADALAJARA DE BUGA,Viernes,21:00,VDA. LA PRIMAVERA,RURAL,FINCAS Y SIMILARES,NO REPORTADA,A PIE,A PIE,73,MASCULINO,CASADO,AGRICULTOR,NO REPORTADA,PRIMARIA,COLOMBIA,"76,001,000",1
05/03/2011 12:00:00 AM,CAUCA,TOTORÓ,Sábado,17:00,-,RURAL,FINCAS Y SIMILARES,NO REPORTADO,A PIE,VEHICULO,71,MASCULINO,CASADO,GANADERO,INGENIERO CIVIL,SUPERIOR,COLOMBIA,"17,873,000",1
08/03/2011 12:00:00 AM,VICHADA,CUMARIBO,Martes,13:00,NICOLINO MATAR,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,VEHICULO,NO REPORTADA,MASCULINO,NO REPORTADA,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADA,COLOMBIA,"15,176,000",1
09/03/2011 12:00:00 AM,ANTIOQUIA,GÓMEZ PLATA,Miércoles,8:00,-,URBANA,FINCAS Y SIMILARES,ARMA DE FUEGO,VEHICULO,A PIE,67,MASCULINO,CASADO,PENSIONADO,NO REPORTADA,NO REPORTADA,COLOMBIA,"68,001,000",1
10/03/2011 12:00:00 AM,VALLE,CALI (CT),Jueves,10:30,-,URBANA,UNIVERSIDADES,NO REPORTADO,VEHICULO,A PIE,17,FEMENINO,SOLTERO,ESTUDIANTE,NO REPORTADA,NO REPORTADA,COLOMBIA,"85,139,000",1
12/03/2011 12:00:00 AM,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,22:51,EL CODITO E-1,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,39,MASCULINO,SOLTERO,EMPLEADO PARTICULAR,DISEÑADOR,SECUNDARIA,COLOMBIA,"5,001,000",1
13/03/2011,ANTIOQUIA,CALDAS,Domingo,10:00,-,URBANA,CASAS DE HABITACION,NO REPORTADO,A PIE,A PIE,14,FEMENINO,SOLTERO,ESTUDIANTE,NO REPORTADA,NO REPORTADA,COLOMBIA,"11,001,000",1
13/03/2011,CUNDINAMARCA,FUSAGASUGÁ,Domingo,1:00,-,URBANA,"BARES, CANTINAS Y SIMILARES",ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,34,MASCULINO,CASADO,COMERCIANTE,NO REPORTADA,SECUNDARIA,COLOMBIA,"76,109,000",1
13/03/2011,NARIÑO,CHACHAGÜÍ,Domingo,7:00,CORREGIMIENTO  PASIZARRA,URBANA,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,VEHICULO,32,FEMENINO,CASADO,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADA,ECUADOR,"11,001,000",1
13/03/2011,NARIÑO,CHACHAGÜÍ,Domingo,7:00,CORREGIMIENTO  PASIZARRA,URBANA,FINCAS Y SIMILARES,NO REPORTADO,A PIE,VEHICULO,42,MASCULINO,CASADO,EMPLEADO SALUD,MEDICO VETERINARIO,SUPERIOR,COLOMBIA,"25,183,000",1
16/03/2011,CESAR,PAILITAS,Miércoles,10:30,-,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,CONDUCTOR MOTOCICLETA,25,MASCULINO,UNION LIBRE,EMPLEADO PARTICULAR,NO REPORTADA,PRIMARIA,COLOMBIA,"11,001,000",1
16/03/2011,VALLE,LA VICTORIA,Miércoles,14:10,-,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,VEHICULO,49,MASCULINO,CASADO,EMPLEADO PARTICULAR,NO REPORTADA,PRIMARIA,COLOMBIA,"19,355,000",1
16/03/2011,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,18:30,FERIAS E-10,URBANA,VIAS PUBLICAS,NO REPORTADO,PASAJERO BUS,PASAJERO BUS,46,FEMENINO,CASADO,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,COLOMBIA,"11,001,000",1
17/03/2011,PUTUMAYO,PUERTO ASÍS,Jueves,6:15,VDA. EL AGUILA,RURAL,FINCAS Y SIMILARES,NO REPORTADO,A PIE,A PIE,65,MASCULINO,CASADO,AGRICULTOR,NO REPORTADA,PRIMARIA,COLOMBIA,"76,109,000",1
19/03/2011,CAQUETÁ,FLORENCIA (CT),Sábado,14:00,CHAPINERO,URBANA,CASAS DE HABITACION,NO REPORTADO,PASAJERO TAXI,CONDUCTOR TAXI,12,FEMENINO,SOLTERO,ESTUDIANTE,NO REPORTADA,PRIMARIA,COLOMBIA,"11,001,000",1
20/03/2011,CASANARE,TAURAMENA,Domingo,3:30,JAGUITO,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,VEHICULO,65,MASCULINO,CASADO,GANADERO,NO REPORTADA,NO REPORTADA,COLOMBIA,"15,001,000",1
23/03/2011,PUTUMAYO,PUERTO ASÍS,Miércoles,8:00,LAS AMERICAS,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,26,FEMENINO,SOLTERO,EMPLEADO PARTICULAR,FISIOTERAPEUTA,SUPERIOR,COLOMBIA,"13,001,000",1
25/03/2011,VALLE,CALI (CT),Viernes,12:02,SAN PEDRO E3,URBANA,ALMACENES,NO REPORTADO,NO REPORTADA,NO REPORTADA,0,FEMENINO,SOLTERO,NO REPORTA,NO REPORTADA,ANALFABETA,COLOMBIA,"95,025,000",1
25/03/2011,NARIÑO,GUACHUCAL,Viernes,18:00,VEREDA SAN DIEGO,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,VEHICULO,41,MASCULINO,CASADO,EMPLEADO PARTICULAR,ZOOTECNICO,SUPERIOR,COLOMBIA,"11,001,000",1
26/03/2011,META,VILLAVICENCIO (CT),Sábado,9:30,ANTONIO PINILLA,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,CONDUCTOR MOTOCICLETA,23,MASCULINO,UNION LIBRE,EMPLEADO PARTICULAR,NO REPORTADA,PRIMARIA,COLOMBIA,"54,001,000",1
27/03/2011,ARAUCA,ARAUQUITA,Domingo,18:00,BOCAS DEL ELE,RURAL,FINCAS Y SIMILARES,NO REPORTADO,A PIE,CONDUCTOR MOTOCICLETA,40,MASCULINO,UNION LIBRE,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,COLOMBIA,"54,001,000",1
29/03/2011,CAQUETÁ,FLORENCIA (CT),Martes,15:30,-,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR MOTOCICLETA,A PIE,26,MASCULINO,SOLTERO,EMPLEADO PARTICULAR,NO REPORTADA,SECUNDARIA,COLOMBIA,"85,001,000",1
02/04/2011 12:00:00 AM,VALLE,CALI (CT),Sábado,20:30,EL PARAISO E12,URBANA,FRENTE A RESIDENCIAS NO REPORTADA VIA PUBLICA,NO REPORTADO,A PIE,A PIE,63,MASCULINO,CASADO,COMERCIANTE,NO REPORTADA,SUPERIOR,COLOMBIA,"5,001,000",1
03/04/2011 12:00:00 AM,SUCRE,GALERAS,Domingo,6:00,-,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,28,MASCULINO,SOLTERO,GANADERO,NO REPORTADA,NO REPORTADA,COLOMBIA,"25,754,000",1
04/04/2011 12:00:00 AM,VALLE,CALI (CT),Lunes,18:40,SAN JUAN BOSCO E3,URBANA,CASAS DE HABITACION,NO REPORTADO,A PIE,VEHICULO,3,MASCULINO,SOLTERO,NO REPORTA,NO REPORTADA,NO REPORTADA,COLOMBIA,"11,001,000",1
04/04/2011 12:00:00 AM,META,MESETAS,Lunes,12:30,VEREDA LAS ROSAS,RURAL,FINCAS Y SIMILARES,NO REPORTADO,A PIE,A PIE,66,FEMENINO,SOLTERO,EMPLEADO PARTICULAR,INGENIERO ELECTRICO,SUPERIOR,COLOMBIA,"50,001,000",1
07/04/2011 12:00:00 AM,ARAUCA,TAME,Jueves,10:00,VEREDA EL BOTALON,URBANA,FINCAS Y SIMILARES,NO REPORTADO,A PIE,VEHICULO,35,MASCULINO,UNION LIBRE,EMPLEADO PARTICULAR,INGENIERO,SUPERIOR,COLOMBIA,"11,001,000",1
07/04/2011 12:00:00 AM,CUNDINAMARCA,FOMEQUE,Jueves,19:00,VER. LA MARGARITA,RURAL,FINCAS Y SIMILARES,SIN EMPLEO DE ARMAS,A PIE,VEHICULO,46,MASCULINO,CASADO,POLITICO,NO REPORTADA,SECUNDARIA,COLOMBIA,"11,001,000",1
12/04/2011 12:00:00 AM,ANTIOQUIA,EL CARMEN DE VIBORAL,Martes,10:00,-,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,VEHICULO,A PIE,11,MASCULINO,SOLTERO,ESTUDIANTE,NO REPORTADA,NO REPORTADA,COLOMBIA,"11,001,000",1
15/04/2011,ATLÁNTICO,BARRANQUILLA (CT),Viernes,0:40,LA PLAYA,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,VEHICULO,A PIE,26,FEMENINO,SOLTERO,ESTUDIANTE,NO REPORTADA,SUPERIOR,COLOMBIA,"11,001,000",1
15/04/2011,VALLE,CALI (CT),Viernes,8:30,CIUDAD 2000 E16,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,20,MASCULINO,SOLTERO,ESTUDIANTE,NO REPORTADA,SUPERIOR,COLOMBIA,"54,001,000",1
15/04/2011,VALLE,CALI (CT),Viernes,8:30,CIUDAD 2000 E16,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,22,MASCULINO,SOLTERO,ESTUDIANTE,NO REPORTADA,NO REPORTADA,COLOMBIA,"54,001,000",1
16/04/2011,GUAJIRA,URIBIA,Sábado,21:45,LA FLORIDA,URBANA,FRENTE A RESIDENCIAS NO REPORTADA VIA PUBLICA,NO REPORTADO,A PIE,A PIE,31,MASCULINO,UNION LIBRE,POLITICO,INGENIERO DE SISTEMAS,SUPERIOR,COLOMBIA,"54,001,000",1
17/04/2011,TOLIMA,ESPINAL,Domingo,13:00,RONDON,URBANA,VIAS PUBLICAS,NO REPORTADO,PASAJERO TAXI,CONDUCTOR TAXI,64,MASCULINO,CASADO,COMERCIANTE,NO REPORTADA,SECUNDARIA,COLOMBIA,"11,001,000",1
18/04/2011,ANTIOQUIA,TOLEDO,Lunes,2:30,-,RURAL,FINCAS Y SIMILARES,NO REPORTADO,VEHICULO,A PIE,20,MASCULINO,SOLTERO,EMPLEADO EJERCITO,NO REPORTADA,NO REPORTADA,COLOMBIA,"85,010,000",1
18/04/2011,ANTIOQUIA,TOLEDO,Lunes,2:30,-,RURAL,FINCAS Y SIMILARES,NO REPORTADO,A PIE,A PIE,23,MASCULINO,SOLTERO,EMPLEADO EJERCITO,NO REPORTADA,SECUNDARIA,COLOMBIA,"11,001,000",1
