FECHA,DEPARTAMENTO ,MUNICIPIO,DIA ,HORA,BARRIO,ZONA,CLASE SITIO,ARMA EMPLEADA,MOVIL AGRESOR,MOVIL VICTIMA,EDAD,SEXO,ESTADO CIVIL,PAIS NACE,CLASE EMPLEADO,PROFESIONES,ESCOLARIDAD,CODIGO DANE,2013
13/02/2013,CUNDINAMARCA,GUADUAS,Miércoles,21:05,-,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,31,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,PRIMARIA,"25,320,000",1
13/02/2013,GUAJIRA,RIOHACHA (CT),Miércoles,19:45,URB. LA MANO DE DIOS,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,17,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADA,SECUNDARIA,"44,001,000",1
13/02/2013,GUAJIRA,VILLANUEVA,Miércoles,6:40,JOSE GALO DAZA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,38,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,"44,874,000",1
13/02/2013,GUAJIRA,VILLANUEVA,Miércoles,6:40,JOSE GALO DAZA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,59,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,"44,874,000",1
13/02/2013,HUILA,TARQUI,Miércoles,20:45,VEREDA EL ESPINAL,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,27,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,"41,791,000",1
13/02/2013,META,PUERTO GAITÁN,Miércoles,23:45,INSP RUBIALES,RURAL,VIAS PUBLICAS,ARMA BLANCA,A PIE,A PIE,34,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,NO REPORTADA,PRIMARIA,"50,568,000",1
13/02/2013,META,VILLAVICENCIO (CT),Miércoles,22:00,AY MI LLANURA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,21,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,PRIMARIA,"50,001,000",1
13/02/2013,NARIÑO,BARBACOAS,Miércoles,10:00,VEREDA CURCUEL,RURAL,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,38,FEMENINO,NO REPORTADO,COLOMBIA,ETNIA INDIGENA,NO REPORTADO,NO REPORTADO,"52,079,000",1
13/02/2013,NARIÑO,SAN ANDRES DE TUMACO,Miércoles,7:45,EL BAJITO,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,22,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,"52,835,000",1
13/02/2013,NARIÑO,SAN ANDRES DE TUMACO,Miércoles,21:40,BUENOS AIRES,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,A PIE,18,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,"52,835,000",1
13/02/2013,NORTE DE SANTANDER,CÚCUTA (CT),Miércoles,21:20,BARRIO SAN MARTIN,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,A PIE,17,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,"54,001,000",1
13/02/2013,NORTE DE SANTANDER,PUERTO SANTANDER,Miércoles,8:20,VEREDA VEGAS DEL PAMPLONITA,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,22,MASCULINO,NO REPORTA,COLOMBIA,DESEMPLEADO,NO REPORTADO,ANALFABETA,"54,553,000",1
13/02/2013,QUINDÍO,CIRCASIA,Miércoles,0:05,VDA.LA CABAÑA,RURAL,FINCAS Y SIMILARES,ARMA DE FUEGO,A PIE,A PIE,27,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,"63,190,000",1
13/02/2013,RISARALDA,SANTA ROSA DE CABAL,Miércoles,20:06,B. LA ESTACION,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,16,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,"66,682,000",1
13/02/2013,RISARALDA,SANTA ROSA DE CABAL,Miércoles,20:06,B. LA ESTACION,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,17,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,PRIMARIA,"66,682,000",1
