FECHA,DEPARTAMENTO,MUNICIPIO,DÍA,CLASE DE ARMA,PERMISO,ZONA,CLASE DE SITIO,CANTIDAD
13/11/2011,CUNDINAMARCA,BOGOTÁ D.C. ,Domingo,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/11/2011,CUNDINAMARCA,BOGOTÁ D.C. ,Domingo,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/11/2011,ATLÁNTICO,BARRANQUILLA ,Domingo,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/11/2011,CUNDINAMARCA,ZIPAQUIRÁ,Domingo,REVOLVER,SIN PERMISO,URBANA,FRENTE A EDIFICIO - VIA PUBLICA,1
13/11/2011,HUILA,ALTAMIRA,Domingo,ESCOPETA,SIN PERMISO,RURAL,TRAMO DE VIA,1
13/11/2011,BOLÍVAR,ZAMBRANO,Domingo,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/11/2011,VALLE,CALI ,Domingo,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/11/2011,CAQUETÁ,SAN JOSÉ DEL FRAGUA,Domingo,ESCOPETA,SIN PERMISO,RURAL,VIAS PUBLICAS,1
13/11/2011,RISARALDA,PEREIRA ,Domingo,REVOLVER,SIN PERMISO,RURAL,VIAS PUBLICAS,1
13/11/2011,CAQUETÁ,SAN JOSÉ DEL FRAGUA,Domingo,ESCOPETA,SIN PERMISO,RURAL,VIAS PUBLICAS,1
13/11/2011,SANTANDER,SABANA DE TORRES,Domingo,ESCOPETA DE FISTO,SIN PERMISO,URBANA,INSTALACIONES DE LA POLICIA,1
13/11/2011,CAQUETÁ,VALPARAÍSO,Domingo,ESCOPETA,SIN PERMISO,RURAL,VIAS PUBLICAS,1
13/11/2011,ANTIOQUIA,ARMENIA,Domingo,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/11/2011,BOLÍVAR,SIMITÍ,Domingo,REVOLVER,SIN PERMISO,RURAL,INSTALACIONES DE LA POLICIA,1
13/11/2011,CUNDINAMARCA,BOGOTÁ D.C. ,Domingo,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/11/2011,PUTUMAYO,SAN FRANCISCO,Domingo,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/11/2011,ANTIOQUIA,MEDELLÍN ,Domingo,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/11/2011,HUILA,GUADALUPE,Domingo,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/11/2011,NARIÑO,SAN ANDRES DE TUMACO,Domingo,PISTOLA,SIN PERMISO,RURAL,ZONA SELVÁTICA,1
13/11/2011,ANTIOQUIA,NARIÑO,Domingo,ESCOPETA,SIN PERMISO,RURAL,FINCAS Y SIMILARES,1
13/11/2011,SANTANDER,BUCARAMANGA ,Domingo,ESCOPETA,SIN PERMISO,URBANA,CARRETERA,1
13/11/2011,ANTIOQUIA,MEDELLÍN ,Domingo,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/11/2011,ATLÁNTICO,BARRANQUILLA ,Domingo,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/11/2011,CALDAS,ANSERMA,Domingo,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/11/2011,VALLE,CALI ,Domingo,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/11/2011,VALLE,CALI ,Domingo,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/11/2011,BOYACÁ,SAN PABLO DE BORBUR,Domingo,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/11/2011,NORTE DE SANTANDER,VILLA DEL ROSARIO,Domingo,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/11/2011,CALDAS,MANIZALES ,Domingo,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/11/2011,CUNDINAMARCA,BOGOTÁ D.C. ,Domingo,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/11/2011,CUNDINAMARCA,SOACHA,Domingo,REVOLVER,SIN PERMISO,URBANA,PERIMETRO URBANO,1
13/11/2011,VALLE,CALI ,Domingo,PISTOLA,SIN PERMISO,URBANA,FRENTE A ALMACEN - VIA PUBLICA,1
13/11/2011,CUNDINAMARCA,BOGOTÁ D.C. ,Domingo,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/11/2011,ATLÁNTICO,BARRANQUILLA ,Domingo,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/11/2011,VALLE,JAMUNDÍ,Domingo,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,1
13/11/2011,META,VILLAVICENCIO ,Domingo,PISTOLA,SIN PERMISO,RURAL,VIAS PUBLICAS,1
14/11/2011,CUNDINAMARCA,BOGOTÁ D.C. ,Lunes,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
14/11/2011,ATLÁNTICO,BARRANQUILLA ,Lunes,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
14/11/2011,BOLÍVAR,EL CARMEN DE BOLÍVAR,Lunes,PISTOLA,CON PERMISO,URBANA,"BARES, CANTINAS Y SIMILARES",1
14/11/2011,VALLE,TULUÁ,Lunes,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,1
14/11/2011,CAQUETÁ,EL DONCELLO,Lunes,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
14/11/2011,CAQUETÁ,SAN JOSÉ DEL FRAGUA,Lunes,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,1
